team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
SD,7/19/2019,1,665487,Fernando Tatis,1,N,
SD,7/19/2019,1,543333,Eric Hosmer,2,N,
SD,7/19/2019,1,592518,Manny Machado,3,N,
SD,7/19/2019,1,592669,Hunter Renfroe,4,N,
SD,7/19/2019,1,614177,Franmil Reyes,5,N,
SD,7/19/2019,1,642336,Francisco Mejia,6,N,
SD,7/19/2019,1,435079,Ian Kinsler,7,N,
SD,7/19/2019,1,622534,Manuel Margot,8,N,
SD,7/19/2019,1,641778,Eric Lauer,SP,N,
CHC,7/19/2019,1,656941,Kyle Schwarber,1,N,
CHC,7/19/2019,1,592178,Kris Bryant,2,N,
CHC,7/19/2019,1,519203,Anthony Rizzo,3,N,
CHC,7/19/2019,1,595879,Javier Baez,4,N,
CHC,7/19/2019,1,605170,Victor Caratini,5,N,
CHC,7/19/2019,1,623520,David Bote,6,N,
CHC,7/19/2019,1,608365,Addison Russell,7,N,
CHC,7/19/2019,1,546991,Albert Almora,8,N,
CHC,7/19/2019,1,452657,Jon Lester,SP,N,
COL,7/19/2019,1,453568,Charlie Blackmon,1,N,
COL,7/19/2019,1,596115,Trevor Story,2,N,
COL,7/19/2019,1,571448,Nolan Arenado,3,N,
COL,7/19/2019,1,621311,David Dahl,4,N,
COL,7/19/2019,1,435622,Ian Desmond,5,N,
COL,7/19/2019,1,641857,Ryan McMahon,6,N,
COL,7/19/2019,1,448602,Mark Reynolds,7,N,
COL,7/19/2019,1,547172,Tony Wolters,8,N,
COL,7/19/2019,1,547172,Tony Wolters,9,N,
COL,7/19/2019,1,607536,Kyle Freeland,SP,N,
NYY,7/19/2019,1,518934,DJ LeMahieu,1,N,
NYY,7/19/2019,1,592450,Aaron Judge,2,N,
NYY,7/19/2019,1,572228,Luke Voit,3,N,
NYY,7/19/2019,1,596142,Gary Sanchez,4,N,
NYY,7/19/2019,1,429665,Edwin Encarnacion,5,N,
NYY,7/19/2019,1,544369,Didi Gregorius,6,N,
NYY,7/19/2019,1,543305,Aaron Hicks,7,N,
NYY,7/19/2019,1,650402,Gleyber Torres,8,N,
NYY,7/19/2019,1,458731,Brett Gardner,9,N,
NYY,7/19/2019,1,457918,J.A. Happ,SP,N,
BOS,7/19/2019,1,605141,Mookie Betts,1,N,
BOS,7/19/2019,1,646240,Rafael Devers,2,N,
